user_a,user_b,log_retweet
billg,franakviacorka,2.772588722239781
franakviacorka,TheEconomist,2.772588722239781
billg,TheEconomist,2.772588722239781
billg,NWSPhoenix,3.332204510175204
billg,Maricopahealth,0.0
Maricopahealth,maricopacounty,0.0
billg,maricopacounty,0.0
billg,Maricopahealth,2.0794415416798357
billg,maricopacounty,0.6931471805599453
billg,jstonedotorg,0.0
jstonedotorg,Maricopahealth,0.0
jstonedotorg,AZDHS,0.0
billg,Maricopahealth,0.0
Maricopahealth,AZDHS,0.0
billg,AZDHS,0.0
billg,KlasfeldReports,8.017966703493599
billg,maricopacounty,0.6931471805599453
maricopacounty,HonorHealth,0.6931471805599453
maricopacounty,CityofPhoenixAZ,0.6931471805599453
billg,HonorHealth,0.6931471805599453
HonorHealth,CityofPhoenixAZ,0.6931471805599453
billg,CityofPhoenixAZ,0.6931471805599453
billg,MaricopaVote,7.3938782901077555
billg,MaricopaVote,4.406719247264253
billg,JenAFifield,3.9512437185814275
billg,AZCardinals,0.6931471805599453
billg,whitneywalker,1.0986122886681098
whitneywalker,maricopacounty,1.0986122886681098
billg,maricopacounty,1.0986122886681098
billg,USArmy,1.0986122886681098
billg,maricopacounty,0.0
maricopacounty,ValledelSolAZ,0.0
billg,ValledelSolAZ,0.0
billg,AllisterAdel,1.6094379124341003
AllisterAdel,gotowebinar,1.6094379124341003
billg,gotowebinar,1.6094379124341003
billg,SchwabCupFinale,0.0
SchwabCupFinale,PingTour,0.0
billg,PingTour,0.0
billg,PingTour,0.6931471805599453
PingTour,SchwabCupFinale,0.6931471805599453
PingTour,azcentral,0.6931471805599453
billg,SchwabCupFinale,0.6931471805599453
SchwabCupFinale,azcentral,0.6931471805599453
billg,azcentral,0.6931471805599453
billg,maricopacounty,0.0
billg,AllisterAdel,1.0986122886681098
billg,joaconiemann,0.0
joaconiemann,TheMasters,0.0
billg,TheMasters,0.0
billg,PingTour,3.332204510175204
PingTour,bubbawatson,3.332204510175204
PingTour,PGATOUR,3.332204510175204
billg,bubbawatson,3.332204510175204
bubbawatson,PGATOUR,3.332204510175204
billg,PGATOUR,3.332204510175204
billg,MaricopaVote,0.6931471805599453
billg,MaricopaVote,0.6931471805599453
billg,turf_paradise,0.0
turf_paradise,MaricopaVote,0.0
billg,MaricopaVote,0.0
billg,MaricopaVote,0.6931471805599453
billg,william55030695,1.6094379124341003
william55030695,billgatesaz,1.6094379124341003
william55030695,GrantWoods,1.6094379124341003
william55030695,Steve_Chucri,1.6094379124341003
billg,billgatesaz,1.6094379124341003
billgatesaz,GrantWoods,1.6094379124341003
billgatesaz,Steve_Chucri,1.6094379124341003
billg,GrantWoods,1.6094379124341003
GrantWoods,Steve_Chucri,1.6094379124341003
billg,Steve_Chucri,1.6094379124341003
billg,YouTube,1.0986122886681098
billg,myroundtable,0.0
myroundtable,jp_twist,0.0
myroundtable,dbseiden,0.0
myroundtable,mliburdi,0.0
myroundtable,Crystal_923az,0.0
myroundtable,myroundtable,0.0
billg,jp_twist,0.0
jp_twist,dbseiden,0.0
jp_twist,mliburdi,0.0
jp_twist,Crystal_923az,0.0
jp_twist,myroundtable,0.0
billg,dbseiden,0.0
dbseiden,mliburdi,0.0
dbseiden,Crystal_923az,0.0
dbseiden,myroundtable,0.0
billg,mliburdi,0.0
mliburdi,Crystal_923az,0.0
mliburdi,myroundtable,0.0
billg,Crystal_923az,0.0
